open,high,low,close,percent_change_next_weeks_price
50.15,52.63,50.09,52.53,3.72482
52.62,54.75,52.51,54.58,2.8288
54.44,55.98,53.8,55.98,-1.60146
54.95,55.3,52.36,54.07,-0.645518
54.22,54.95,52.76,53.87,-2.21811
54.1,54.49,51.82,52.9,-0.357277
53.18,53.5,51.1,52.99,0.557621
53.8,54.64,52.89,54.1,1.99593
37.74,40,37.62,39.45,0.717765
39.01,39.81,38.92,39.29,1.71487
39.07,39.94,38.51,39.74,-1.99294
39.64,39.95,38.65,38.85,4.27766
39.04,40.77,38.64,40.71,6.39706
40.8,44.05,40.71,43.41,0.85668
43.19,43.9,42.98,43.56,0.280177
42.83,43.28,41.6,42.95,1.23199
43.02,44.34,42.97,43.55,-1.37836
43.53,43.61,42.16,42.93,-3.30675
42.64,42.67,40.42,41.23,3.64206
41.46,43.24,40.87,42.97,-0.787219
18.49,18.72,18.12,18.43,1.12843
18.61,18.82,18.46,18.82,4.00421
19.93,20.74,19.74,20.2,2.13612
20.13,20.96,20.1,20.56,2.6962
20.77,21.44,20.73,21.33,-0.32543
21.51,21.65,21.24,21.44,-0.287356
20.88,21.21,20.08,20.82,-2.7685
20.95,21.17,20.16,20.37,-0.196078
20.4,20.79,19.94,20.36,-3.55711
19.68,19.93,19.25,19.75,2.67542
35.2,35.57,34.18,34.38,5.0644
34.16,35.89,34.07,35.89,1.50125
35.97,36.99,35.48,36.51,0.658256
36.46,38.12,36.3,36.7,-0.888769
37.13,37.18,36.38,36.8,1.84783
36.8,37.48,36.41,37.48,2.69549
37.47,38.48,37.27,38.48,-5.64885
39.3,39.38,36.78,37.08,0.188425
37.15,37.86,36.33,37.22,-0.322061
37.26,37.78,36.54,37.14,-2.49187
36.92,36.94,35.43,36,3.11381
36.29,37.82,36.03,37.42,0.266951
42.22,45.39,42.22,45.09,3.09853
44.86,46.25,44.57,46.25,2.36238
46.14,47.64,45.76,47.23,-2.52731
46.69,47.83,45.36,45.51,4.44836
45.41,47.52,45.13,47.43,1.94928
47.71,49.39,47.61,48.64,0.454076
48.45,49.12,47.54,48.67,-10.2796
47.57,48.55,42.08,42.68,-1.04505
43.06,43.85,42.06,42.61,-2.72727
42.9,43.05,41.26,41.73,0.024207
41.31,42.15,40.1,41.32,1.62485
41.85,43.28,41.35,42.53,-3.39463
147.21,148.86,146.64,147.93,2.04082
147,150,146,150,3.79122
149.82,156.78,149.38,155.5,2.43855
155.42,164.35,155.33,159.21,3.02802
159.18,164.2,158.68,164,-0.140176
164.08,166.25,163.18,163.85,0.401998
164.18,164.84,162.52,164.84,-0.788653
163.57,164.26,159.03,162.28,-0.326435
162.36,164.31,159.41,161.83,0.513614
161.6,167.72,158.85,162.43,-3.27004
161.16,161.98,151.71,155.89,2.87998
157.64,162.74,157.07,162.18,1.68998
21.01,21.21,20.27,20.66,1.78658
20.71,21.33,20.57,21.08,-0.998573
21.03,21.2,20.62,20.82,2.0447
21.03,21.94,20.93,21.46,0.603248
21.55,21.71,21.03,21.68,0.091996
21.74,21.86,21.35,21.76,2.35784
21.63,22.14,21.28,22.14,-0.410023
21.95,22.19,21.01,21.86,-0.873563
21.75,22.08,21.35,21.56,-3.78054
21.69,21.74,20.61,20.87,-3.5334
20.66,20.88,19.71,19.93,2.36181
19.9,20.6,19.88,20.37,-3.5225
62.63,63.54,62.53,62.6,0.417402
62.29,62.98,62,62.55,0.723356
62.21,63.25,62.01,62.66,-4.07609
62.56,62.72,60,60.01,1.13032
60.16,60.99,59.69,60.84,-0.295664
60.88,61.17,60.42,60.7,0.692042
60.69,61.11,60.33,61.11,-1.71391
60.68,61.08,59.36,59.64,1.88553
59.93,61.5,59.77,61.06,-2.2917
61.09,61.1,59.11,59.69,-1.54648
59.49,59.49,57.5,58.57,0.528379
58.67,59.16,58.5,58.98,0.8647
43,44.95,42.64,43.64,3.79015
43.27,44.97,43,44.91,0.599733
45.02,45.54,43.6,45.29,-1.48197
45.21,45.88,44.26,44.54,0.405314
44.41,46,44.3,44.59,4.06704
44.75,46.89,44.65,46.57,4.34783
46,48,46,48,-1.10169
47.2,47.27,45.21,46.68,-2.75582
46.81,47.18,45.07,45.52,0.263043
45.62,47.1,44.76,45.74,0.704535
45.42,46.18,43.4,45.74,-0.907519
46.28,46.38,44.77,45.86,0.542299
31.76,31.76,31.14,31.19,1.39114
30.91,31.72,30.89,31.34,-0.191022
31.41,31.52,30.89,31.35,-2.73973
31.39,31.77,30.5,30.53,2.16181
30.53,31.22,30.21,31.19,-1.66774
31.18,31.25,30.24,30.66,0.782524
30.67,30.93,30.26,30.91,3.22266
30.72,32.2,30.66,31.71,-0.754243
31.82,31.88,31.28,31.58,0.443599
31.56,31.79,31.18,31.7,-1.65027
31.51,31.6,30.45,30.99,1.55945
30.78,31.49,30.43,31.26,0.829346
65.88,65.88,62.56,62.92,0.685805
62.7,63.86,62.56,63.13,-0.696092
63.21,63.92,62.72,62.77,-1.04979
62.87,63.31,62.14,62.21,0.385109
62.32,63.48,61.89,62.56,1.43609
62.67,64.75,62.32,63.57,1.38213
63.67,64.72,62.55,64.55,1.49937
63.36,64.4,63.33,64.31,1.62069
64.17,65.87,63.86,65.21,-0.780772
65.32,65.84,64.47,64.81,-2.54896
64.34,64.61,61.29,62.7,3.31063
63.13,65.39,63.05,65.22,3.09816
77.1,77.59,73.59,74.37,-0.255892
74.25,74.49,72.46,74.06,0.482251
74.65,75.75,74.31,75.01,-1.3064
74.25,75.85,73.05,73.28,0.338753
73.8,74.5,73.08,74.05,2.71145
74.13,76.32,73.3,76.14,0.078875
76.07,76.45,75.7,76.13,-1.98815
75.95,76.45,74.42,74.44,2.03999
74.51,76.63,73.64,76.03,0.458235
76.38,77.25,74.97,76.73,-4.08673
76.1,76.41,72.89,72.99,2.38095
73.5,75.75,73.38,75.25,0.582396
86.75,87.9,85.63,86.23,2.80047
85.7,88.8,85.7,88.1,1.65073
87.84,89.39,87.25,89.29,-1.98408
89.21,90.5,87.2,87.44,0.409417
87.93,88.45,87.31,88.29,4.11705
88.17,91.95,87.81,91.8,1.35194
91.72,92.96,91,92.96,-2.67443
92.73,93.65,89.27,90.25,0.31556
91.9,93.4,90.24,92.19,-1.04774
92.58,94.16,89.71,91.61,-2.44491
91.21,91.21,86.91,88.98,2.21558
90.27,92.98,90.17,92.27,0.768232
36.29,37.35,35.85,37.35,-8.13204
37.26,37.61,34.23,34.23,-0.498973
34.07,34.3,33.48,33.9,-2.70668
33.99,33.99,33,33.07,-1.20156
33.29,34.04,32.51,32.89,0.394657
32.94,33.3,32.74,33.07,-0.363967
32.97,33.19,32.65,32.85,-1.70992
32.75,32.8,31.85,32.19,2.67081
32.2,33.36,32.19,33.06,-0.818182
33,33.48,32.45,32.73,-1.81538
32.5,32.6,31.06,31.91,1.49579
32.09,32.9,32.04,32.57,1.62876
28.05,28.85,27.77,28.6,0.35461
28.2,28.5,28,28.3,-0.497159
28.16,28.74,28.02,28.02,-0.963597
27.77,28.11,27.42,27.77,-1.97842
27.8,28.34,27.07,27.25,-0.514706
27.2,27.37,26.6,27.06,-0.85885
26.78,27.1,26.43,26.55,-2.77257
26.69,26.86,25.8,25.95,-1.72216
26.13,26.27,25.35,25.68,-2.70694
25.49,25.76,24.68,24.8,1.74742
25.18,25.95,25.15,25.62,-0.701481
17.7,18.38,17.62,18.34,0.658617
18.22,18.48,18.13,18.34,0.054496
18.35,18.49,18.02,18.36,-0.981997
18.33,18.76,18.14,18.15,6.10225
18.19,19.39,18.16,19.3,-2.28334
19.27,19.3,18.62,18.83,1.96599
18.82,19.39,18.72,19.19,-0.105932
18.88,19.13,18.67,18.86,3.7467
18.95,19.9,18.9,19.66,-0.86558
19.64,19.75,19.3,19.47,3.75321
20.32,20.5,19.74,20.35,-0.195886
64.39,65.08,64,64.5,1.75466
64.4,65.53,63.4,65.53,0.39604
65.65,65.95,65.05,65.91,-2.57967
65.9,66.95,63.14,64.2,-1.14996
64.35,64.36,62.3,63.61,1.2197
63.95,64.97,63.8,64.73,-0.771605
64.8,64.8,63.4,64.3,-1.39652
63.73,64.4,62.53,62.84,-1.22611
62.8,63.65,61.56,62.03,-0.822581
62,62.3,61.12,61.49,-0.720839
61.04,61.39,59.7,60.6,-0.131234
60.96,61.52,60.54,60.88,1.6372
29.68,30.1,28.66,28.85,-0.385424
28.54,28.61,27.71,28.43,-0.770578
28.55,28.59,28.15,28.33,-3.40829
28.46,28.95,27.41,27.49,2.00584
27.42,28.06,27.2,27.97,1.78763
27.97,28.59,27.63,28.47,0.598592
28.4,28.57,28,28.57,-0.670904
28.32,28.42,27.61,28.13,-1.16814
28.25,28.53,27.79,27.92,1.82469
27.95,28.89,27.73,28.46,-1.34181
28.32,28.42,27.27,27.94,0.278067
28.77,29.1,27.95,28.85,5.51344
56.09,56.34,52.88,53.33,2.84262
53.12,54.84,52.96,54.63,0.695716
54.62,55.24,54.07,55,1.21509
55.14,57.78,54.97,55.81,2.86687
55.81,57.52,55.81,57.41,2.91347
57.32,59.12,56.97,58.99,3.53501
58.84,60.92,58.53,60.92,-1.65016
60.6,61.15,59.05,59.6,-0.704698
59.6,60.02,58.53,59.18,-0.641242
59.26,59.72,57.88,58.88,-0.701214
58.47,59.51,57.51,58.06,0.924025
58.44,59.28,57.99,58.98,1.04925
79.19,79.75,78.4,79.08,1.03488
78.27,79.9,77.81,79.08,1.16044
79.28,80.5,78.98,80.2,1.45776
80.26,83.08,80.26,81.43,0.880196
81.8,82.6,80.66,82.52,2.83645
82.85,85.46,82.73,85.2,-0.07053
85.07,85.44,84.25,85.01,-1.38396
84.54,84.69,81.81,83.37,-0.86145
83.58,84.24,81.42,82.86,-2.10767
83.03,84.05,80.26,81.28,-0.718355
80.74,81.23,77.05,80.16,2.73063
81.3,83.59,80.57,83.52,1.87463
36.06,37.7,35.41,35.93,-2.98222
36.55,36.58,34.98,35.46,-1.21538
35.38,35.51,34.35,34.95,2.15023
34.88,36.59,34.88,35.63,1.87991
35.64,36.48,35.38,36.31,0.247934
36.3,36.77,35.77,36.39,0.853759
36.31,36.62,35.66,36.62,-0.745033
36.24,36.32,35.34,35.97,0.055463
36.06,36.94,35.85,36.08,-0.774979
36.13,36.65,35.65,35.85,0.279799
35.74,35.84,33.36,35.84,1.71849
36.66,37.32,36.37,37.29,2.75107
54.23,55.07,53.76,54.08,2.16216
53.65,55.36,53.54,54.81,1.12502
55.11,56.27,54.71,55.73,2.36505
55.39,57.9,55.3,56.7,-0.744021
56.45,56.58,55.39,56.03,-0.677724
56.07,56.73,55.3,55.69,0.217155
55.26,55.38,54.35,55.38,-3.82828
53.81,54.01,51.52,51.75,0.618357
51.75,52.6,51.68,52.07,0.631458
52.26,53.88,51.75,52.59,-1.58548
52.35,52.52,50.97,51.52,1.19853
51.73,52.95,51.38,52.35,-0.344102
73.72,75.9,73.64,75.59,3.60708
75.13,77.84,74.58,77.84,1.52976
77.79,79.1,76.77,78.98,0.177552
78.85,79.98,77.93,78.99,4.2042
79.92,83.98,79.01,83.28,-0.754943
83.45,84,81.61,82.82,3.04878
82,85.1,81.8,84.5,0.435448
84.97,88.23,84.73,85.34,-0.919995
85.87,86.56,83.55,85.08,-4.33364
85.84,86.08,80.1,82.12,-1.00404
81.67,82.64,78.8,80.85,2.13754
81.87,83.93,81.86,83.62,0.97782
17.13,17.8,17.02,17.47,2.87026
17.42,18.47,17.42,17.92,-8.52713
18.06,18.19,16.38,16.52,3.72861
16.36,16.97,15.88,16.97,0.354191
16.94,17.24,16.66,17,-0.694847
17.27,17.96,16.83,17.15,-0.34965
17.16,17.62,16.75,17.1,-4.35294
17,17.29,16.26,16.26,3.25815
15.96,16.48,15.83,16.48,-4.8416
16.73,16.83,15.77,15.92,-4.0201
15.92,16.03,15.17,15.28,-3.72793
15.29,15.5,14.59,14.72,3.81731
14.67,15.6,14.56,15.23,7.16163
45.54,46.29,45.11,45.36,1.46898
45.61,46.49,45.1,46.28,-0.237274
46.36,46.95,45.6,46.25,2.74809
45.85,47.48,45.27,47.11,4.00509
47.19,49.15,46.77,49.08,1.68118
49.37,50.47,49.08,50.2,-1.13863
50.06,50.46,49.22,49.49,3.58155
49.42,51.97,49.17,51.19,0.768624
50.74,51.38,49.79,51.13,-4.10586
51.39,51.7,49.04,49.28,-2.82923
49.13,49.38,47.33,47.74,1.12594
47.96,49.14,46.92,48.5,-0.020682
48.35,50.15,48.15,48.34,7.93978
73.5,74.85,73.03,74.01,0.122649
73.38,74.85,72.71,73.47,-1.42566
73.65,74.28,70.88,72.6,3.74037
72.72,75.44,71.75,75.44,5.65488
75.51,80.34,74.68,79.78,-1.29434
80.35,80.65,78.09,79.31,-0.353045
79.31,80.42,78.48,79.03,-1.44928
78.66,78.81,75.83,77.52,0.574788
76.55,76.99,75.13,76.99,-3.80463
77.8,78.35,74.09,74.84,-2.76886
74.76,75.27,72.61,72.69,1.50561
73.06,75.51,72.69,74.16,-3.65062
73.96,75.02,70.29,71.26,3.96137
109.54,113.59,108.61,113.12,-3.45495
113.75,113.93,108.88,109.82,-2.55408
110.02,110.3,105.35,107.21,3.63705
105.58,109.42,102.16,109.42,5.64811
109.24,116.25,107.95,115.41,-5.07571
116.24,116.55,108.39,110.34,-4.0343
110.8,112.97,106.02,106.33,-1.45461
105.87,108.27,101.47,104.33,3.25765
101.3,104.6,100.3,104.6,-4.99013
106.41,106.6,99.15,101.1,-3.45137
100.25,101.61,96.42,96.79,-1.01104
96.93,98.45,94.2,95.95,3.64805
96.49,102.5,96.05,100.01,8.66347
17.36,17.6,16.99,17.04,3.76249
17.71,17.76,16.97,17.03,0.35545
16.88,16.96,16.52,16.94,3.48494
16.93,17.64,16.9,17.52,0.285551
17.51,17.7,17.28,17.56,-3.70793
16.82,16.87,16.34,16.53,0.304692
16.41,16.46,16.11,16.46,-3.49608
16.59,16.82,15.98,16.01,-5.73566
16.04,16.17,15.01,15.12,-1.12285
15.14,15.28,14.78,14.97,-0.066934
14.94,15.64,14.92,14.93,6.15797
106.4,109.65,105.52,108.32,1.0505
108.52,109.94,107.51,109.66,-3.18936
109.74,109.9,103.13,106.24,3.03001
104.95,108.34,103.04,108.13,1.92791
107.37,109.6,106.68,109.44,-6.0285
109.48,109.57,101.11,102.88,-0.83293
103.25,104.95,100.41,102.39,0.529256
102.03,104.53,99.61,102.57,2.05676
101.13,103.86,100.7,103.21,-3.45091
104.61,105.21,99.57,101,-1.21903
100.9,101.87,98.98,99.67,-0.869652
100.04,101.29,97.71,99.17,-0.9911
98.88,102.46,97,97.9,6.27935
54.11,55.8,53.7,55.19,-0.18018
55.5,56.52,55,55.4,-1.00992
55.45,55.81,53.17,54.89,3.00295
54.28,56,53.19,55.91,1.97522
55.69,56.88,54.54,56.79,-3.17263
56.42,57,53.59,54.63,-3.69494
54.94,56.13,52.55,52.91,0
52.74,54,51.92,52.74,1.56522
51.75,52.56,50.5,52.56,-5.43437
53.18,53.39,50.11,50.29,-1.0338
50.3,50.9,49.52,49.78,-0.919448
50.03,50.63,48.64,49.57,4.9697
49.5,51.98,49.46,51.96,5.05304
43.19,43.48,42.36,42.85,-2.58922
42.87,43.05,41.4,41.76,-0.574713
41.76,42.02,40.84,41.52,3.17305
40.97,42.46,40.45,42.27,1.79499
42.34,43.35,41.71,43.1,-0.943179
43.47,43.79,42.3,43.06,-4.15512
43.32,44.12,40.94,41.52,0.581677
41.26,41.84,40.68,41.5,0.899149
41.15,41.52,40.55,41.52,-6.01432
41.9,41.99,39.17,39.38,-1.73558
39.18,39.88,38.42,38.5,-1.52731
38.63,38.86,37.77,38.04,-0.713342
37.85,38.89,37.19,37.58,5.58214
19.81,20.5,19.53,20.34,-2.60492
20.73,20.75,20.07,20.19,-0.988142
20.24,20.37,19.6,20.04,0.91047
19.77,20.54,19.51,19.95,1.53923
20.14,20.85,19.89,20.45,-3.33333
20.7,20.71,19.81,20.01,-0.400601
19.97,20.42,19.76,19.89,-1.15869
19.85,20.05,19.41,19.62,0.621118
19.32,19.52,18.97,19.44,-4.36992
19.68,19.72,18.75,18.82,-2.08445
18.71,18.8,18.14,18.32,0.983069
18.31,18.9,18.2,18.49,-2.01745
18.34,18.94,17.97,17.97,6.66667
37.46,37.87,36.62,37.56,-0.053362
37.48,37.96,37.21,37.46,1.92256
37.45,38.4,37.17,38.17,0.265252
37.7,38.5,37.2,37.8,-1.22308
37.61,37.71,36.94,37.15,-1.20192
37.44,37.67,36.77,36.99,0.216626
36.93,37.43,36.7,37.01,0.981194
36.69,37.94,36.55,37.05,0
36,37,36,36,-4.28413
36.18,36.28,34.43,34.63,-3.06979
34.53,35.02,33.42,33.47,3.19785
33.46,34.93,33.41,34.53,2.30388
34.29,35.69,34.28,35.08,4.85298
42.42,42.83,37.6,40.98,0.123001
40.65,41.8,40.2,40.7,-1.10538
40.71,41.55,40.12,40.26,2.57758
39.96,41.19,39.16,40.99,-1.68047
41.06,41.3,39.99,40.37,0.294913
40.69,41.52,39.8,40.81,-0.931601
40.2,40.34,35.91,35.98,3.87858
35.58,36.96,35.44,36.96,-3.13841
37.28,37.52,36,36.11,-2.05613
35.99,36.24,35.14,35.25,-0.370054
35.13,35.32,33.95,35,0.316183
34.79,35.65,34.55,34.9,5.70613
161.54,164.42,161.12,164.27,-0.225033
164.42,164.75,163.16,164.05,1.69481
163.44,166.34,162.3,166.21,2.21088
164.64,168.28,162.19,168.28,1.74769
167.65,173,167.23,170.58,-1.8709
172.11,173.54,167.5,168.89,0.908605
168.39,172.77,167.82,169.92,0.206113
169.81,171.41,166.53,170.16,-0.593472
168.5,168.6,165.9,167.5,-2.01259
168.44,169.89,164.13,165.05,-0.958971
164.76,165.96,162.87,163.18,0
164.44,165.1,161.52,164.44,0.836897
163.7,166.81,163.59,165.07,5.30952
20.44,20.66,19.56,19.72,1.1622
19.79,20.2,19.36,20.02,-1.59442
20.07,20.2,19.41,19.75,9.88223
19.53,21.46,19.45,21.46,8.32943
23.13,23.83,22.65,23.41,-0.428816
23.32,23.96,23.08,23.22,-3.09773
22.92,23.03,22.21,22.21,-3.20713
22.45,22.64,21.67,21.73,-1.92661
21.8,22.44,21.26,21.38,-1.11993
21.43,26.78,21.07,21.19,0.047192
21.19,21.74,21.06,21.2,6.42419
58.98,59.73,58.93,59.49,-0.067227
59.5,60.18,59.25,59.46,1.71313
59.54,60.95,59.49,60.56,5.98842
60.45,64.54,60.1,64.07,3.25216
63.65,65.98,63.4,65.72,-0.986044
65.92,66.46,64.8,65.27,2.31915
65.11,67.37,65.07,66.62,-1.08417
66.41,66.79,65.28,65.69,2.42368
65.19,66.77,65.08,66.77,-1.81251
67.31,67.34,65.8,66.09,0.333991
65.87,67.28,65.18,66.09,-0.045235
66.32,67.36,65.47,66.29,-1.54358
66.08,66.75,64.69,65.06,3.22086
46.1,46.88,45.51,46.35,1.56114
46.12,47.8,46.05,46.84,-4.48936
47,47.37,44.83,44.89,0.926135
44.27,44.97,43.53,44.68,2.19485
44.65,46.02,44.38,45.63,-1.95908
45.94,46.07,44.76,45.04,-3.57542
44.75,45.5,42.98,43.15,0.372353
42.97,44.35,42.65,43.13,0.919811
42.4,42.92,41.69,42.79,-3.86216
43.24,43.38,40.83,41.57,-0.121655
41.1,41.5,40.1,41.05,-1.18673
41.29,42.44,39.7,40.8,-2.49383
40.5,41.53,39.44,39.49,5.53299
31.35,31.7,31.06,31.61,-0.126143
31.71,31.88,31.35,31.67,5.13709
31.73,33.54,31.69,33.36,2.01711
32.72,33.67,32.7,33.38,0.418535
33.45,33.9,33,33.59,1.42857
33.6,34.49,33.22,34.08,3.19432
33.81,35.1,33.8,34.89,1.1194
34.84,35.44,34.48,35.23,-0.629111
34.97,35.06,34.28,34.75,-1.98333
34.79,35,34.05,34.1,-0.821837
34.07,34.39,24.3,33.79,1.65094
33.92,34.72,33.76,34.48,0.610643
34.39,34.98,33.87,34.6,2.48483
65.2,67.48,65.03,67.22,0.074383
67.22,67.82,66.86,67.27,1.13011
67.25,68.47,66.41,68.01,0.458783
67.57,68.05,66.64,67.88,-0.721118
67.95,67.98,65.81,67.46,-1.26919
67.76,67.93,66.4,66.9,1.97427
66.86,68.77,66.83,68.18,0.293686
68.1,68.7,67.5,68.3,-1.59787
67.59,67.9,66.3,66.51,-2.10636
66.94,67.24,65.21,65.53,-0.183178
65.51,68.05,65.07,65.39,0.798771
65.1,66.23,64.64,65.62,-0.673092
65.37,66.82,64.43,64.93,4.99614
75.55,76.5,74.87,75.99,-0.35382
76.31,76.91,75.66,76.04,1.61523
76.15,77.54,75.83,77.38,0.026011
76.89,78.41,76.4,76.91,1.50356
77.15,78.59,76.54,78.31,0.382653
78.4,79.37,78.2,78.7,1.61087
79.46,80.91,79.08,80.74,2.34958
80.44,82.85,80.44,82.33,0.110389
81.53,83.08,81.49,81.62,-1.93596
82.13,82.25,80.01,80.54,-0.297767
80.6,82.23,80,80.36,2.59853
80.43,82.72,80.39,82.52,-0.58309
82.32,83.09,81.4,81.84,5.07913
92.42,94.33,91.9,93.13,0.58265
92.68,94.1,92.6,93.22,-0.822737
93.59,94.64,91.75,92.82,2.15358
91.94,94.42,90.58,93.92,3.514
93.91,97.5,93.27,97.21,-2.0291
97.58,97.95,94.4,95.6,0.745016
95.3,97.18,94.44,96.01,-2.07243
95.54,96.23,92.75,93.56,1.27858
92.29,93.47,91.38,93.47,-3.56194
94.05,94.68,90.19,90.7,0.387254
90.38,92.43,90.24,90.73,0.702216
91.14,92.99,90.58,91.78,-0.579742
91.42,93.92,90.68,90.89,6.13746
32.54,33.48,32.39,33.07,0.989802
33.34,33.7,33.01,33.67,2.46437
33.68,34.97,33.27,34.51,-0.467836
34.2,34.29,33.51,34.04,6.67656
33.7,36.25,33.63,35.95,-0.137212
36.44,36.75,35.95,36.39,2.68624
36.11,37.3,36.1,37.08,0
37.06,37.65,36.69,37.06,-1.25443
36.67,37.04,36.1,36.21,-1.56636
36.39,36.76,35.76,35.82,-0.70028
35.7,36.38,35.36,35.45,1.02769
35.03,35.88,34.99,35.39,-2.09691
35.29,35.97,34.5,34.55,2.89017
25.66,25.72,25.3,25.48,2.43615
25.45,26.31,25.41,26.07,-3.13097
26.19,26.25,25.09,25.37,1.67331
25.1,26,24.72,25.52,1.40845
25.94,26.25,25.48,25.87,-2.9845
25.8,25.96,24.95,25.03,-1.88301
24.96,25.07,24.25,24.49,2.27179
24.21,25.03,24.03,24.76,-4.24679
24.96,25.1,23.84,23.9,-0.83682
23.9,24.25,23.69,23.7,1.97562
23.79,29.05,23.65,24.26,0.537857
24.17,24.86,24.16,24.3,7.38754
20.42,20.57,20.11,20.38,-0.437956
20.55,20.61,20.15,20.46,-0.097324
20.55,20.75,20.33,20.53,-2.60827
20.32,20.88,19.79,19.79,5.11278
19.95,21.06,19.9,20.97,-2.79092
21.14,21.2,20.07,20.55,1.89966
20.53,20.99,20.45,20.92,-0.71977
20.84,21.28,20.68,20.69,2.14739
20.49,20.98,20.35,20.93,-0.761905
21,21.45,20.66,20.84,-3.41018
20.82,20.97,20.04,20.11,0.896414
20.08,20.73,20.03,20.26,-0.049776
20.09,20.96,20.08,20.08,3.23383
61.08,62.3,60.61,62.08,-0.434293
62.17,62.33,61.47,61.9,3.48275
62.02,64.21,61.9,64.18,-0.628239
63.67,64.34,63.27,63.27,2.88523
63.08,65.1,62.6,64.9,0.045984
65.24,66.5,64.9,65.27,2.97243
64.93,67.31,64.86,66.86,1.0501
66.66,67.72,66.51,67.36,-0.898204
66.8,67.2,65.7,66.2,-1.35685
66.33,67,56.57,65.43,-1.00979
65.36,65.64,64.65,64.7,0.061872
64.65,65.22,63.33,64.69,-2.97628
64.51,65.29,62.44,62.59,2.40599
29.02,30.97,28.9,30.62,-0.097593
30.74,31,29.99,30.71,-0.325203
30.75,30.84,30.01,30.65,0.854701
30.42,30.68,29.91,30.68,1.46723
30.67,31.82,30.43,31.12,-1.07595
31.6,31.94,31.03,31.26,0.673077
31.2,31.79,31.05,31.41,0
31.32,31.77,30.9,31.32,0.935484
31,31.3,30.92,31.29,-2.63659
31.48,31.65,30.52,30.65,-0.687398
30.55,30.61,30.11,30.34,1.61823
30.28,30.95,30.17,30.77,-0.717547
30.66,31.33,30.29,30.44,3.36052
59.09,60.01,58.37,59.71,-0.417851
59.83,60,59.11,59.58,-0.083542
59.85,60.85,59,59.8,3.37154
59.32,61.32,58.07,61.32,3.19635
61.32,63.37,60.91,63.28,-0.204531
63.56,64.17,62.85,63.43,-1.42338
63.23,64.09,62.18,62.33,-0.431862
62.52,63.11,62.13,62.25,-0.356333
61.74,62,60.36,61.52,-1.24294
